Timestamp,Year,Gender,Age,Nationality,Current Country of Residence,Current State of Residence,Current City of Residence,Highest Level of Education,Name of Highest Degree Obtained,Name of School or University,Is your Education Background related to your current job?,Did you go through a bootcamp to learn technical skills?,"Professional Certification (Eg. CCNA, CEH, GCP Cloud Associate)",Name of Bootcamp Course,Name of Professional Certification(s),Job Title,What is your currency code?,What is your current monthly base salary?,What is your current bonus compensation per year?,What is your current equity (stock) compensation per year?,How many days of annual leave are you entitled to?,Company Benefits,What technologies do you use for work on a regular basis?,Company Location,Company Industry,What is the size of your company?,What is the size of your tech team?,What's the name of your company? [Optional],Satisfaction Level of Current Job,Years of Experience,Number of past employments/jobs (excluding the current one),What was your starting monthly salary?,Indicate in 3-character currency code for starting monthly salary
18/11/2021 16:50:05,2021,Male,28,Malaysian,Malaysia,Sabah,Kota Kinabalu,Undergraduate Degree,Information Technology,Open University Malaysia,Yes,No,No,,,Software Developer,MYR,4000.00,"4,000.00",0,14,"Maternity Leave, Gym/Wellness Reimbursement","Nodejs, PHP, Python",Sabah,"Agriculture, Forestry, Mining",201-1000 employees,2 - 10 people,EP,7,7,1,1000,
27/01/2022 01:09:20,2022,Male,40,Malaysian,Malaysia,Kuala Lumpur,Confidential,Undergraduate Degree,Computer Engineering,UOW KDU Malaysia University & College,Yes,No,Yes,,OCM,Consultant,MYR,15000.00,0.00,,14,Health Insurance,Java,Kl,"Data Infrastructure, Telecom",51-200 employees,2 - 10 people,,6,10,10,1000,
18/10/2021 16:15:13,2021,Female,39,Malaysian,Malaysia,Selangor,Shah Alam,Undergraduate Degree,Computer Science,Tunku Abdul Rahman University College,Yes,No,No,,,Senior Software Engineer,MYR,9500.00,"20,000.00",,18,"Health Insurance, Dental Claim, Maternity Leave, Paternity Leave, Learning and Development, Company Laptop, Optical/Eye-wear claims","Java, Kotlin, Kubernetes, Linux","Selangor, Malaysia",Auto Vehicles,51-200 employees,2 - 10 people,,8,18,4,1000,
26/02/2022 17:21:02,2022,Male,22,Malaysian,Malaysia,Selangor,Puchong,Undergraduate Degree,Computer Science,Xiamen University Malaysia,Yes,No,No,,,Backend Developer,MYR,4500.00,Confidential,,20,"Health Insurance, Maternity Leave, Paternity Leave, Remote Work, Employee Discount, Learning and Development, Transport/Parking Allowance, Company Laptop, Annual Flexi Allowance, Broadband/Home Internet Reimbursement","Java Spring Boot, Postman, SQL","Kuala Lumpur, Malaysia",Software House,11-50 employees,2 - 10 people,ModeFair,9,0.5,1,1000,
26/07/2021 21:42:03,2021,Male,24,Malaysian,Malaysia,Sabah,Kota Kinabalu,Undergraduate Degree,Computer Science,University Malaya,Yes,No,No,,,IoT Developer,MYR,3300.00,0.00,0,14,"Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work","JavaScript, NodeJS, HTML, CSS, VSCode, ExpressJS, Linux, Windows","Pulau Pinang, Malaysia","Industrials (Manufacturing, Construction, etc.)",11-50 employees,2 - 10 people,,7,3,2,1000,
26/07/2021 21:08:19,2021,Male,23,Malaysian,Malaysia,Negeri Sembilan,Seremban,Undergraduate Degree,Business Information System,Sunway University,Yes,Yes,No,Next Academy Web Development BootCamp,,Data Analytics Associate,MYR,5100.00,0.00,0,15,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Free Breakfast, Free Lunch, Free Dinner, Free Snacks, Free Drinks, Remote Work, Gym/Wellness Reimbursement, Employee Discount, Learning and Development, Transport Allowance, Company Laptop, Company Phones, Phone Bill Reimbursement, Relocation Bonus, Employee Referral Program (3k bonus)",SQL & Python,"Kuala Lumpur, Malaysia",Retail / ecommerce,">10,000employees",51 - 200 people,Shopee Malaysia,8,"0.67 years (8 months, intern)",1,1000,
26/07/2021 20:04:28,2021,Male,41,Malaysian,Singapore,Singapore,Singapore,Masters Degree,Computer Science,Carnegie Mellon University,Yes,No,No,,,CTO,SGD,2000.00,0.00,"SGD 1,000,000",18,Learning and Development,The Internet,Singapore,Robotics,11-50 employees,2 - 10 people,,10,20,5,1000,
26/07/2021 22:28:01,2021,Male,18,Malaysian,Malaysia,Selangor,Cyberjaya,Undergraduate Degree,Computer Science,Malaysia Multimedia University,Yes,No,No,,,Full-Stack Software Developer,MYR,1000.00,0.00,0,20,"Health Insurance, Vacation/Personal Days, Sick Time (Unlimited)","Javascript, React, Node","Selangor, Malaysia",Startup,11-50 employees,11 - 50 people,,10,2,1,1000,
27/07/2021 07:29:02,2021,Male,23,Malaysian,Malaysia,Johor,Tangkak,Undergraduate Degree,Computer Science,International Islamic University Malaysia,Yes,No,No,,,Intern,MYR,1500.00,0.00,0,60,"Employee Assistance Program, Sick Time (Unlimited), Remote Work, Company Laptop","Tensorflow, Blockchain","Selangor, Malaysia","Data Infrastructure, Telecom",1-10 employees,2 - 10 people,,8,3,1,1000,
12/09/2021 20:15:39,2021,Male,33,Malaysian,Malaysia,Johor,Pontian,Diploma,Information System Engineering,Tunku Abdul Rahman University College,Yes,No,No,,,Information System Engineer,MYR,3150.00,0.00,0,18,Employee Discount,"JS,SQL,C#,Hyper V","Johor, Malaysia","Hospitality, Food, Leisure Travel",201-1000 employees,2 - 10 people,,4,12,1,1100,
22/02/2022 08:41:53,2022,Male,24,Malaysian,Malaysia,Selangor,Puchong,Undergraduate Degree,Computer Science,Tunku Abdul Rahman University College,Yes,No,No,,,Junior Software Developer,MYR,3000.00,0.00,0,12,"Free Snacks, Free Drinks",vuejs,"Selangor, Malaysia",IT software services,11-50 employees,11 - 50 people,,4,0,1,1200,MYR
07/10/2021 21:28:11,2021,Male,22,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Computer Science,UOW KDU Malaysia University & College,Yes,No,No,,,Mobile Apps Developer,MYR,3000.00,0.00,0,12,"Health Insurance, Dental Claim, Maternity Leave, Paternity Leave, Free Snacks, Company Laptop, Optical/Eye-wear claims","Mobile, Web","Selangor, Malaysia","Professional Services (Law, Consulting, etc.)",51-200 employees,2 - 10 people,,7,0,1,1200,MYR
04/12/2021 20:30:10,2021,Male,30,Malaysian,Malaysia,Pahang,Kuantan,Undergraduate Degree,Information Technology,International Islamic University Malaysia,Yes,No,No,,,UI/UX Developer,MYR,1600.00,0.00,,12,"Paternity Leave, Vacation/Personal Days","Wordpress, Adove Illustrator, Figma, Elementor",Kuantan,Retail / ecommerce,51-200 employees,Team of 1,,1,3,4,1200,MYR
01/11/2021 10:13:36,2021,Male,30,Malaysian,Malaysia,Pahang,Kuantan,Undergraduate Degree,Information Technology,International Islamic University Malaysia,Yes,Yes,No,GDG 2015,,System Analyst,MYR,1600.00,0.00,0,14,"Dental Claim, Paternity Leave, Vacation/Personal Days","Wordpress, ASP based system","PAHANG, MALAYSIA",Beauty,51-200 employees,Team of 1,NURRAYSA GLOBAL SDN BHD,3,3,4,1200,MYR
03/08/2021 09:47:34,2021,Male,24,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Computer Science,University Malaya,Yes,No,No,,,DevOps/Web Platform Support Engineer,MYR,3500.00,"7,176.00",0,15,"Health Insurance, Life Insurance, Dental Claim, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Gym/Wellness Reimbursement, Employee Discount, Learning and Development, Transport/Parking Allowance, Company Laptop, Company Phones, Phone Bill Reimbursement, Broadband/Home Internet Reimbursement, Optical/Eye-wear claims","Akamai, AWS, TIBCO, Jira, Bitbucket","Kuala Lumpur, MY",Healthcare,"1,001-10,000 employees",2 - 10 people,ResMed,10,0.5,1,1200,
27/07/2021 22:15:19,2021,Male,34,Malaysian,Malaysia,Selangor,Cyberjaya,Diploma,Diploma,Politeknik,No,No,No,,,Data Scientist,MYR,10000.00,"25,000.00",,18,"Health Insurance, Life Insurance, Dental Claim, Maternity Leave, Paternity Leave, Vacation/Personal Days, Free Lunch, Remote Work, Employee Discount, Learning and Development, Company Laptop, Company Phones, Phone Bill Reimbursement, Annual Flexi Allowance, Optical/Eye-wear claims","Python, spark,",Bukit Jalil,Entertainment,201-1000 employees,11 - 50 people,,8,12,3,1200,
27/07/2021 01:07:46,2021,Male,27,Malaysian,Malaysia,Kuala Lumpur,Ampang,Masters Degree,Software Engineering,Asia Pacific University,Yes,No,Yes,,,Software Engineer,MYR,1400.00,700.00,,10,Remote Work,"Python,React,.Net",PJ,Financial Services,51-200 employees,11 - 50 people,,7,4,2,1200,
26/07/2021 23:18:55,2021,Male,19,Malaysian,Malaysia,Johor,Johor Bahru,"Pre-university (STPM, A-Levels, Matriculation, CPU, IB, etc.)",Science,Sunway University,Yes,No,No,,,Junior Fullstack Developer,MYR,1800.00,0.00,0,12,"Free Snacks, Remote Work","Web, Laravel, React","Johor Bahru, Johor","Professional Services (Law, Consulting, etc.)",1-10 employees,2 - 10 people,,7,0,0,1200,
26/07/2021 22:15:53,2021,Male,39,Malaysian,Malaysia,Kuala Lumpur,Kuchai Lama,Undergraduate Degree,,UOW KDU Malaysia University & College,Yes,No,No,,,Senior Software Developer,MYR,17500.00,"8,750.00",0,14,"Health Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Remote Work, Gym/Wellness Reimbursement, Learning and Development, Company Laptop","React.js, Ruby, PHP","Kuala Lumpur, Malaysia","Professional Services (Law, Consulting, etc.)",11-50 employees,2 - 10 people,,9,15,7,1200,
26/07/2021 20:26:13,2021,Male,21,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Information Technology,Asia pacific university,Yes,No,No,,,Android Developer,MYR,1500.00,0.00,0,16,Health Insurance,Android studio,"Selangor , malaysia","Data Infrastructure, Telecom",11-50 employees,2 - 10 people,ATX (M) Sdn Bhd,1,0,0,1200,
26/07/2021 22:24:47,2021,Male,29,Malaysian,Malaysia,Pulau Pinang,Kepala Batas,Undergraduate Degree,Computer Science,University Sains Malaysia,Yes,No,No,,,Software Engineer,MYR,9500.00,"9,500.00",0,15,"Health Insurance, Life Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Free Lunch, Free Snacks, Free Drinks, Remote Work, Learning and Development, Company Laptop, Relocation Bonus",".NET, Javascript, Microsoft Azure","Kuala Lumpur, Malaysia","Professional Services (Law, Consulting, etc.)",51-200 employees,11 - 50 people,,9,3.5,6,1250,
26/07/2021 20:11:01,2021,Male,41,Malaysian,Malaysia,Selangor,Kajang,"Pre-university (STPM, A-Levels, Matriculation, CPU, IB, etc.)",NA,National Computing Centre,Yes,No,No,,,Senior Software Engineer,MYR,16800.00,0.00,NA,20,"Remote Work, Company Laptop",.Net,"Kuala Lumpur, Malaysia",Retail / ecommerce,11-50 employees,2 - 10 people,,7,18,7,1250,
27/07/2021 09:35:29,2021,Male,24,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Computer Science,University Malaysia Sabah,Yes,No,No,,,Software Engineer,MYR,1300.00,0.00,0,4,"Free Snacks, Free Drinks, Remote Work, Company Laptop","Java EE, SQL and JSP","Petaling Jaya, Malaysia",Financial Services,201-1000 employees,2 - 10 people,,5,0.5,0,1300,
26/07/2021 21:02:05,2021,Male,24,Malaysian,Malaysia,Selangor,Klang,Undergraduate Degree,Mechatronic Engineering,University Malaysia Pahang,Yes,No,No,,,AI / Full Stack Engineer,MYR,3800.00,0.00,0,8,"Health Insurance, Maternity Leave, Paternity Leave, Remote Work, Learning and Development, Transport Allowance","AWS, Azure, Elastic, Python.",KLang,"Industrials (Manufacturing, Construction, etc.)",11-50 employees,2 - 10 people,,5,1,2,1300,
26/07/2021 21:33:43,2021,Male,38,Malaysian,Malaysia,Selangor,Shah Alam,Undergraduate Degree,Information Technology,INTI International University College,Yes,No,No,,,Solution Architect,MYR,12000.00,0.00,0,28,"Health Insurance, Vacation/Personal Days, Free Drinks, Remote Work, Company Laptop","Web , .Net, javascript,mssql","Selangor ,malaysia",Business,1-10 employees,2 - 10 people,,10,10,2,1400,
28/07/2021 17:42:48,2021,Female,25,Malaysian,Malaysia,Selangor,Puchong,Undergraduate Degree,Information Technology,University Putra Malaysia,Yes,No,No,,,Junior Software Engineer,MYR,2700.00,"2,400.00",,9,Company Laptop,Laptop,Selangor,"Data Infrastructure, Telecom",1-10 employees,2 - 10 people,,7,0,2,1500,MYR
20/11/2021 18:57:09,2021,Male,24,Malaysian,Malaysia,Kuala Lumpur,Confidential,Undergraduate Degree,,,Yes,No,No,,,.NET Developer,MYR,3800.00,Confidential,,10,"Health Insurance, Vacation/Personal Days, Free Snacks, Free Drinks, Company Laptop",.NET,"Wilayah Persekutuan, Malaysia",Games,51-200 employees,11 - 50 people,,8,2,0,1500,MYR
30/07/2021 20:02:10,2021,Male,35,Malaysian,Malaysia,Selangor,Bandar Baru Bangi,Undergraduate Degree,Engineering,University of New South Wales,Yes,No,No,,,Senior Android Developer,MYR,8000.00,"1,000.00",0,12,"Free Snacks, Free Drinks, Company Laptop, Company Phones","Kotlin,Android,Java,MVVM",Kuala Lumpur,Communication,11-50 employees,2 - 10 people,,6,9,6,1500,MYR
01/08/2021 11:04:11,2021,Male,27,Malaysian,Malaysia,Selangor,Klang,Undergraduate Degree,Computer Science,INTI International University College,Yes,No,No,,,Software Developer,MYR,2500.00,0.00,0,14,"Remote Work, Company Laptop","C#, Angular",KL,"Transport, Logistics",51-200 employees,11 - 50 people,,9,4,1,1500,
21/02/2022 23:49:04,2022,Male,26,Malaysian,Malaysia,Selangor,Shah Alam,Undergraduate Degree,Software Engineering,Asia E University,Yes,No,No,,,Software Developer,MYR,3700.00,0.00,0,14,"Transport/Parking Allowance, Company Laptop",".Net, ASP Classic, PHP, JS",Kuala Lumpur,IT services,11-50 employees,2 - 10 people,,6,4,3,1500,
28/07/2021 12:36:54,2021,Male,27,Malaysian,Malaysia,Selangor,Semenyih,Undergraduate Degree,Computer Science,University Tenaga Nasional,Yes,No,No,,Certified Professional Requirement Engineering,"Team Lead, Software Engineer",MYR,8500.00,0.00,0,14,"Vacation/Personal Days, Sick Time (Unlimited), Free Breakfast, Free Lunch, Free Dinner, Free Snacks, Free Drinks, Remote Work, Learning and Development",Ruby on Rails,"Selangor, Malaysia",Healthcare,11-50 employees,2 - 10 people,,8,6,4,1500,
28/07/2021 20:47:13,2021,Male,33,Malaysian,Malaysia,Selangor,Petaling Jaya,Diploma,Games Development,UOW KDU Malaysia University & College,Yes,No,No,,,Senior Blockchain Developer,MYR,15000.00,"30,000.00",,20,"Health Insurance, Life Insurance, Dental Claim, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Free Breakfast, Free Lunch, Free Dinner, Free Snacks, Free Drinks, Remote Work, Gym/Wellness Reimbursement, Employee Discount, Learning and Development, Tuition Reimbursement, Transport/Parking Allowance, Student Loan Repayment Plan, Company Laptop, Company Phones, Immigration Assistance, Phone Bill Reimbursement, Relocation Bonus, Annual Flexi Allowance, Broadband/Home Internet Reimbursement, Optical/Eye-wear claims, Professional Membership Subsidy/Sponsor","Golang, rust, nodejs, serverless",Penang,Financial Services,201-1000 employees,11 - 50 people,,7,10,4,1500,
31/01/2022 23:29:45,2022,Male,48,Malaysian,Malaysia,Selangor,Petaling Jaya,Diploma,Higher Diploma,Asia Pacific University,Yes,No,No,,,Solution Architect,MYR,20000.00,Confidential,,21,"Health Insurance, Dental Claim, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Learning and Development, Transport/Parking Allowance, Company Laptop, Optical/Eye-wear claims, Company Car",Xwiki,"Selangor, MY",Financial Services,51-200 employees,11 - 50 people,,9,30,10,1500,
26/07/2021 23:40:53,2021,Male,19,Malaysian,Malaysia,Johor,Johor Bahru,SPM,None,MARA Technology University,Yes,Yes,No,Legoom Programming Track - Legoom.NET,,Undergraduate Student,MYR,2.00,0.00,O,0,Free Lunch,"LARAVEL, REACT-NATIVE","KUALA LUMPUR, MALAYSIA",Communication,1-10 employees,Team of 1,LUSTREFX ENTERPRISE,8,2,1,1500,
27/07/2021 10:46:43,2021,Male,21,Malaysian,Malaysia,Kuala Lumpur,Confidential,Undergraduate Degree,,,Yes,No,No,,,Intern,MYR,500.00,0.00,,0,Remote Work,"Excel, github","Kuala Lumpur, Malaysia",Financial Services,51-200 employees,11 - 50 people,Finology,5,0,2,1500,
26/07/2021 21:24:46,2021,Male,24,Malaysian,Malaysia,Selangor,Puchong,Diploma,Mechatronic Engineering,Polytechnic Nilai,No,Yes,No,Full stack - Hacker collective,,Automation Engineer,MYR,3000.00,0.00,0,14,"Life Insurance, Remote Work, Company Laptop",Laptop,KL,"Industrials (Manufacturing, Construction, etc.)",1-10 employees,2 - 10 people,,10,3,0,1500,
